date,avg_sentiment_score,open,close,high,low,volume,code
2017-02-10,0.6666666666666666,3398.32,3413.49,3422.33,3398.03,123768720,hs300
2017-02-13,-1.5,3416.92,3436.27,3439.54,3416.87,120144538,hs300
2017-02-14,2.0,3438.51,3435.8,3440.67,3424.4,94809465,hs300
2017-02-15,-0.6666666666666666,3435.39,3421.71,3448.03,3417.08,127643338,hs300
2017-02-16,0.7777777777777778,3421.83,3440.93,3440.93,3418.35,108276962,hs300
2017-02-17,-0.2,3443.62,3421.44,3457.56,3419.61,114600036,hs300
2017-02-20,0.0,3421.64,3471.39,3472.6,3421.64,132628862,hs300
2017-02-21,-0.42857142857142855,3475.06,3482.82,3490.09,3472.02,114842009,hs300
2017-02-22,1.0,3483.2,3489.76,3489.95,3473.52,102815994,hs300
2017-02-23,-0.7142857142857143,3487.57,3473.32,3492.96,3460.12,99536330,hs300
2017-02-24,0.0,3468.96,3473.85,3473.85,3455.25,95535133,hs300
2017-02-27,0.0,3471.13,3446.22,3472.84,3441.39,98672160,hs300
2017-03-01,0.0,3452.21,3458.44,3472.7,3449.11,103260354,hs300
2017-03-02,-0.1111111111111111,3463.48,3435.1,3468.47,3434.0,89898077,hs300
2017-03-03,-0.6,3424.66,3427.86,3428.88,3412.83,80994652,hs300
2017-03-06,0.125,3427.25,3446.48,3449.03,3425.9,83070882,hs300
2017-03-07,0.0,3446.16,3453.96,3454.04,3440.06,80334720,hs300
2017-03-08,-0.375,3452.2,3448.73,3457.04,3441.26,79587690,hs300
2017-03-09,-0.06666666666666667,3442.9,3426.94,3443.05,3414.68,84570381,hs300
2017-03-10,-0.36363636363636365,3423.98,3427.89,3436.24,3423.94,70016199,hs300
2017-03-13,0.7142857142857143,3425.67,3458.1,3458.1,3412.69,91684124,hs300
2017-03-14,-0.5,3456.66,3456.69,3465.39,3448.9,77077963,hs300
2017-03-15,-0.07692307692307693,3452.21,3463.64,3463.92,3445.27,79104954,hs300
2017-03-16,0.1,3472.27,3481.51,3492.13,3472.27,106333913,hs300
2017-03-17,-0.6,3485.31,3445.81,3488.5,3441.47,103755560,hs300
2017-03-20,-0.2222222222222222,3449.05,3449.61,3454.06,3429.83,88734322,hs300
2017-03-21,-0.3333333333333333,3449.77,3466.35,3466.7,3445.64,87707855,hs300
2017-03-22,-0.5,3450.75,3450.05,3464.33,3433.5,104935894,hs300
2017-03-23,-0.4,3452.41,3461.98,3470.82,3435.69,94318062,hs300
2017-03-24,0.0,3464.2,3489.6,3499.32,3461.11,125645833,hs300
2017-03-27,0.09090909090909091,3488.76,3478.04,3505.98,3474.52,107015377,hs300
2017-03-28,-0.5,3480.25,3469.81,3482.29,3461.47,84194820,hs300
2017-03-29,0.38461538461538464,3472.97,3465.19,3483.06,3455.55,104851706,hs300
2017-03-30,-0.21052631578947367,3461.62,3436.76,3467.3,3422.37,116376922,hs300
